TEXT,TYPE
ALPINE,BRAND_FAMILY_NAME
ASSOS,BRAND_FAMILY_NAME
ASSOS INTERNATIONAL,BRAND_FAMILY_NAME
ASSOS PREMIUM,BRAND_FAMILY_NAME
BELMONT,BRAND_FAMILY_NAME
BELVEDERE,BRAND_FAMILY_NAME
BENSON & HEDGES,BRAND_FAMILY_NAME
BOND STREET,BRAND_FAMILY_NAME
BRUNETTE,BRAND_FAMILY_NAME
CANADIAN CLASSICS,BRAND_FAMILY_NAME
CHESTERFIELD,BRAND_FAMILY_NAME
CHOICE,BRAND_FAMILY_NAME
CRAVEN,BRAND_FAMILY_NAME
DERBY,BRAND_FAMILY_NAME
DIANA,BRAND_FAMILY_NAME
DUNHILL,BRAND_FAMILY_NAME
EVE,BRAND_FAMILY_NAME
F6,BRAND_FAMILY_NAME
FIESTA,BRAND_FAMILY_NAME
L&M,BRAND_FAMILY_NAME
LARK,BRAND_FAMILY_NAME
LARK-BAISHA,BRAND_FAMILY_NAME
LONGBEACH,BRAND_FAMILY_NAME
MARK TEN,BRAND_FAMILY_NAME
MARLBORO,BRAND_FAMILY_NAME
MERIT,BRAND_FAMILY_NAME
MULTIFILTER,BRAND_FAMILY_NAME
MURATTI,BRAND_FAMILY_NAME
NEXT,BRAND_FAMILY_NAME
NORTH POLE,BRAND_FAMILY_NAME
NUMBER 7,BRAND_FAMILY_NAME
PARLIAMENT,BRAND_FAMILY_NAME
PETER JACKSON,BRAND_FAMILY_NAME
PETTEROE'S,BRAND_FAMILY_NAME
PHILIP MORRIS,BRAND_FAMILY_NAME
ROOFTOP,BRAND_FAMILY_NAME
ROTHMANS,BRAND_FAMILY_NAME
SAMPOERNA A,BRAND_FAMILY_NAME
SAMPOERNA U,BRAND_FAMILY_NAME
SG,BRAND_FAMILY_NAME
VIRGINIA S.,BRAND_FAMILY_NAME
VIRGINIA SLIMS,BRAND_FAMILY_NAME
A ORIGINAL,BRAND_DIFFERENTIATOR_NAME
ADDITIVE FREE BLUE,BRAND_DIFFERENTIATOR_NAME
ADDITIVE FREE RED,BRAND_DIFFERENTIATOR_NAME
ADVANCE ORIG,BRAND_DIFFERENTIATOR_NAME
ADVANCE SILVER,BRAND_DIFFERENTIATOR_NAME
ALURA,BRAND_DIFFERENTIATOR_NAME
AMBASSADOR,BRAND_DIFFERENTIATOR_NAME
AMBASSADOR BLUE,BRAND_DIFFERENTIATOR_NAME
AMBASSADOR SILVER,BRAND_DIFFERENTIATOR_NAME
